cod_vh;cod_viv;cod_hog;cod_utam_hg;zat_hg;cod_upl_hg;nom_mun_hg;estrato_hg;tipo_vehículo;cantidad;tipo_combustible;mun_matricula;tipo_placa;exento_pyp;modelo;propiedad_vh;key_hg;fexp_vh;
1;12156;5102;UTAM076;309;10;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;66001;Privada;No;2008;Este hogar;uuid:38d81220-9026-4f52-991a-f8915b447439; 81,2 ;
2;3274;2130;UTAM056;703;29;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2011;Este hogar;uuid:1807b7af-c09e-47af-9234-18f1a768cd61; 132,2 ;
3;3274;2130;UTAM056;703;29;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2020;Este hogar;uuid:1807b7af-c09e-47af-9234-18f1a768cd61; 132,2 ;
4;4610;9050;UTAM060;685;29;Bogotá D.C.;1;Campero/Camioneta;1;Sólo Gasolina;11001;Pública;No;2014;Este hogar;uuid:6603181f-9cf9-4754-9aa4-f710acbef8e6; 2,9 ;
5;3060;8972;UTAM058;939;27;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2019;Este hogar;uuid:6511a0c7-545d-4af7-a784-8951c586decc; 200,0 ;
6;3060;8972;UTAM058;939;27;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2021;Este hogar;uuid:6511a0c7-545d-4af7-a784-8951c586decc; 200,0 ;
7;3060;8972;UTAM058;939;27;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2017;Este hogar;uuid:6511a0c7-545d-4af7-a784-8951c586decc; 200,0 ;
8;3058;16440;UTAM058;939;27;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2017;Este hogar;uuid:b8836b3b-7304-4b9c-88cf-a9f84022d343; 164,1 ;
9;3582;20098;UTAM058;752;27;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;25151;Privada;No;2018;Este hogar;uuid:e17ad7d9-a341-4d3b-810d-4d777bc9c753; 169,1 ;
10;12193;22026;UTAM076;309;10;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;2010;Este hogar;uuid:f7b91ee3-760d-433d-b8ae-d50d0bae6397; 69,0 ;
11;2221;2976;UTAM053;611;29;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:21c3f7a4-cf86-4f90-b4ce-4e45c44d0cba; 40,9 ;
12;2221;2976;UTAM053;611;29;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:21c3f7a4-cf86-4f90-b4ce-4e45c44d0cba; 40,9 ;
13;2220;16258;UTAM053;611;29;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:b67e6e4d-f46a-4b79-91c2-de7cc8ca85ce; 45,6 ;
14;10354;9631;UTAM029;122;11;Bogotá D.C.;2;Taxi;1;Sólo Gasolina;11001;Pública;No;NS/NR;Empresa donde trabaja;uuid:6c2ded56-b3be-460c-a3c9-edc4d2a28274; 329,4 ;
15;10394;12247;UTAM029;122;11;Bogotá D.C.;1;Moto - carro;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:8982ef42-bb6a-4c8f-9b23-854067222561; 264,5 ;
16;4626;16673;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);1994;Este hogar;uuid:bb0d4e59-8ba4-4f37-a3f3-9f9ab887ce95; 6,2 ;
17;2833;4688;UTAM068;727;26;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2017;Este hogar;uuid:346a2534-f7d2-4971-96c5-f15e764f9d02; 78,5 ;
18;2826;21432;UTAM068;724;26;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2015;Este hogar;uuid:f0eb95cb-bc24-4072-8b08-e6e4fae1c04a; 92,2 ;
19;3941;8045;UPR0003;1152;26;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:5a741051-1d21-4c80-8180-ec79e481d62c; 10,9 ;
20;160;16022;UTAM032;603;30;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2003;Este hogar;uuid:b3e2c45e-13a8-47c3-afb7-a97ebbe9f2a2; 306,8 ;
21;4843;18473;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2022;Este hogar;uuid:cf7bc59c-ffb7-40a0-b3d5-797542daa769; 6,2 ;
22;4848;18075;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2022;Este hogar;uuid:cafd9401-256b-4461-bc94-35a388b5780d; 6,1 ;
23;4838;22035;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2019;Este hogar;uuid:f7dedd68-f342-457a-8c34-53b8282d9b5e; 6,1 ;
24;4901;6553;UTAM064;1150;31;Bogotá D.C.;1;Automóvil;1;Sólo Gasolina;11001;Pública;No;1998;Este hogar;uuid:4965d412-c93a-4362-9a63-93cc264172d4; 6,1 ;
25;4901;6553;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2016;Este hogar;uuid:4965d412-c93a-4362-9a63-93cc264172d4; 6,1 ;
26;6689;17222;UTAM084;560;22;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2000;Este hogar;uuid:c1361a77-d905-4611-86ab-cc535f23b01e; 457,8 ;
27;12138;14254;UTAM076;309;10;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2014;Este hogar;uuid:a0284b06-e255-4dbe-b47c-e4cb59c3ede0; 80,3 ;
28;4817;12713;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2015;Este hogar;uuid:8e93a4e8-3ad5-4603-99ed-2a39966d4342; 6,0 ;
29;4817;12713;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2022;Este hogar;uuid:8e93a4e8-3ad5-4603-99ed-2a39966d4342; 6,0 ;
30;6685;2748;UTAM084;560;22;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2018;Este hogar;uuid:1f1f2d6b-078e-4be1-bfcf-7f10c2a48d31; 464,9 ;
31;6709;22304;UTAM084;560;22;Bogotá D.C.;2;Moto - carro;1;Sólo Gasolina;No aplica;Privada;NA (motos);2020;Este hogar;uuid:fad1f077-d16c-47ce-8c6c-929e659ffd7d; 506,9 ;
32;6687;21613;UTAM084;560;22;Bogotá D.C.;1;Campero/Camioneta;1;Sólo Gasolina;11001;Privada;No;2010;Este hogar;uuid:f32a458d-0679-45f9-a0a7-91d6bebee0d5; 447,7 ;
33;107;22072;UTAM033;968;30;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;2018;Este hogar;uuid:f8627a32-56da-49b6-b3d1-560fb8a599b8; 105,2 ;
34;107;22072;UTAM033;968;30;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2021;Este hogar;uuid:f8627a32-56da-49b6-b3d1-560fb8a599b8; 105,2 ;
35;117;17576;UTAM032;969;30;Bogotá D.C.;3;Automóvil;1;Sólo Gasolina;11001;Privada;No;1996;Este hogar;uuid:c5124970-b3a2-4562-8497-55b0695aa076; 325,9 ;
36;117;17576;UTAM032;969;30;Bogotá D.C.;3;Automóvil;1;Sólo Gasolina;11001;Privada;No;2007;Este hogar;uuid:c5124970-b3a2-4562-8497-55b0695aa076; 325,9 ;
37;158;3779;UTAM032;603;30;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2017;Este hogar;uuid:2ab66bd9-888a-4a15-ae72-e6555338d665; 360,0 ;
38;158;3779;UTAM032;603;30;Bogotá D.C.;1;Motocicleta;1;Eléctrico;No aplica;Privada;NA (motos);2020;Este hogar;uuid:2ab66bd9-888a-4a15-ae72-e6555338d665; 360,0 ;
39;155;13327;UTAM032;603;30;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2014;Este hogar;uuid:95a164c8-48dd-40e6-b010-060daf3b1ca1; 308,3 ;
40;155;13327;UTAM032;603;30;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2022;Este hogar;uuid:95a164c8-48dd-40e6-b010-060daf3b1ca1; 308,3 ;
41;154;6982;UTAM032;603;30;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2013;Este hogar;uuid:4e1389a8-07fb-4830-a423-4e908c68e378; 274,6 ;
42;154;6982;UTAM032;603;30;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2018;Este hogar;uuid:4e1389a8-07fb-4830-a423-4e908c68e378; 274,6 ;
43;124;1762;UTAM032;602;30;Bogotá D.C.;3;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2016;Este hogar;uuid:1386568b-637c-4467-bc59-db133036662f; 294,9 ;
44;4661;5099;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2021;Este hogar;uuid:38d3bcde-886f-4fc7-9ea3-223a499a21ad; 6,1 ;
45;4662;11708;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2017;Este hogar;uuid:83946319-258e-487c-b921-dd3b8905d32b; 6,1 ;
46;3074;8235;UTAM058;939;27;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;2015;Este hogar;uuid:5ca40e0f-3396-456d-8253-6cc48fc98b3a; 169,6 ;
47;3935;18696;UPR0003;1152;26;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2016;Este hogar;uuid:d228c57d-62cd-41ee-a000-0ae8c425fd7c; 11,0 ;
48;15460;16076;UTAM019;67;2;Bogotá D.C.;3;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2023;Este hogar;uuid:b46aec38-a34e-48a5-9dba-d14a96fa6917; 1.029,4 ;
49;15455;16319;UTAM019;67;2;Bogotá D.C.;3;Automóvil;1;Sólo Gasolina;11001;Privada;No;1970;Este hogar;uuid:b72707b7-a267-420f-802b-25cb0db0d04b; 1.014,8 ;
50;15457;18956;UTAM019;67;2;Bogotá D.C.;3;Taxi;1;Sólo Gasolina;11001;Pública;No;2018;Este hogar;uuid:d50a96c1-2f50-43a9-bb76-e03ba3f38837; 665,7 ;
51;3613;14546;UTAM059;751;27;Bogotá D.C.;1;Automóvil;1;Sólo Gasolina;11001;Pública;No;1996;Este hogar;uuid:a3548251-c3d6-48cb-b1de-42db2117a37c; 109,4 ;
52;3938;8308;UPR0003;1152;26;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2019;Este hogar;uuid:5d7e2c7d-7a75-4bf0-bd0a-996bcb6526f3; 11,0 ;
53;15429;17311;UTAM018;50;2;Bogotá D.C.;5;Pick Up/Van;1;Diésel;63001;Pública;Sí, vehículo de servicio especial;2012;Este hogar;uuid:c22c67ed-6424-4c3e-ada1-dc7820dc12db; 256,3 ;
54;15993;18950;UTAM002;1024;1;Bogotá D.C.;6;Automóvil;1;Sólo Gasolina;11001;Pública;No;2010;Este hogar;uuid:d5038aa6-a7d6-4989-94e9-57913382b806; 5,5 ;
55;15417;5037;UTAM018;50;2;Bogotá D.C.;5;Automóvil;1;Sólo Gasolina;11001;Privada;No;1985;Este hogar;uuid:38087c3d-1fbf-4c41-b9dd-e8a606e44fa1; 344,0 ;
56;10129;13868;UTAM074;196;9;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2006;Este hogar;uuid:9bb9e5c2-45bb-459b-af0b-54fdc8c19e34; 688,8 ;
57;10129;13868;UTAM074;196;9;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2006;Este hogar;uuid:9bb9e5c2-45bb-459b-af0b-54fdc8c19e34; 688,8 ;
58;10129;13868;UTAM074;196;9;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2006;Este hogar;uuid:9bb9e5c2-45bb-459b-af0b-54fdc8c19e34; 688,8 ;
59;9741;8651;UTAM029;125;11;Bogotá D.C.;3;Automóvil;1;Sólo Gasolina;11001;Privada;No;2016;Otro;uuid:616bab7b-6bec-4b0f-ba5b-3401e4a289ed; 322,8 ;
60;9911;7220;UTAM029;121;11;Bogotá D.C.;1;Campero/Camioneta;1;Sólo Gasolina;50001;Privada;No;1994;Otro;uuid:50f3db85-fa5c-4e80-9251-fbb7ab1f8701; 320,8 ;
61;10385;14545;UTAM029;122;11;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:a350eb43-fe42-4316-9eb8-377049344071; 335,1 ;
62;3277;22350;UTAM056;703;29;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2020;Este hogar;uuid:fb55feb4-b5ab-4cab-ae22-4fbbd66057df; 161,3 ;
63;6702;3725;UTAM084;560;22;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;2002;Este hogar;uuid:2a10dd9a-1581-4262-a6bf-1555fdb15d50; 445,7 ;
64;7688;17849;UTAM084;550;22;Bogotá D.C.;2;Campero/Camioneta;1;Sólo Gasolina;15001;Privada;No;1995;Este hogar;uuid:c881837b-6bf7-45b2-9792-29294742dc74; 472,5 ;
65;7688;17849;UTAM084;550;22;Bogotá D.C.;2;Campero/Camioneta;1;Sólo Gasolina;11001;Privada;No;2008;Este hogar;uuid:c881837b-6bf7-45b2-9792-29294742dc74; 472,5 ;
66;3282;6529;UTAM056;703;29;Bogotá D.C.;2;Campero/Camioneta;1;Sólo Gasolina;11001;Pública;No;2010;Este hogar;uuid:491b49d7-9db3-4042-8caa-ba1037674a3f; 105,0 ;
67;3276;4513;UTAM056;703;29;Bogotá D.C.;2;Taxi;1;Sólo Gasolina;11001;Pública;No;2008;Este hogar;uuid:328958d7-3160-4fdd-b340-57b3bb60c2e8; 123,3 ;
68;7691;11776;UTAM084;550;22;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2000;Otro hogar;uuid:845f3a6d-a6c3-46a9-ac32-060c9625dd41; 499,7 ;
69;3268;1240;UTAM056;703;29;Bogotá D.C.;2;Campero/Camioneta;1;GNV y gasolina;11001;Privada;No;1998;Este hogar;uuid:0d802291-f3fa-45d1-8b5f-7c45094c47ad; 135,7 ;
70;3268;1240;UTAM056;703;29;Bogotá D.C.;2;Taxi;1;Sólo Gasolina;11001;Pública;No;2006;Este hogar;uuid:0d802291-f3fa-45d1-8b5f-7c45094c47ad; 135,7 ;
71;4814;6791;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:4bdba3f0-d224-49d3-a1b7-c0cf4835b0d4; 6,1 ;
72;16608;6637;UTAM071;117;7;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:4a432153-b65d-41ae-a6a2-fce413a4292a; 720,1 ;
73;10210;16041;UTAM074;195;9;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:b40dc09a-4970-4ad0-a171-e0eba3a9cf4e; 707,4 ;
74;10210;16041;UTAM074;195;9;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;NS/NR;Este hogar;uuid:b40dc09a-4970-4ad0-a171-e0eba3a9cf4e; 707,4 ;
75;7697;14314;UTAM084;550;22;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;1998;Este hogar;uuid:a0ca2429-db1f-4a4a-9022-add3d7b74971; 482,4 ;
76;12136;10603;UTAM076;309;10;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;2015;Este hogar;uuid:779b3d6c-641c-4f35-ab53-8fc0fe057197; 67,0 ;
77;114;12975;UTAM033;968;30;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;NS/NR;Este hogar;uuid:917adc63-0502-4c71-83df-44ea7ee06501; 95,8 ;
78;114;12975;UTAM033;968;30;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:917adc63-0502-4c71-83df-44ea7ee06501; 95,8 ;
79;7692;2218;UTAM084;550;22;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2022;Este hogar;uuid:191a27c8-8f54-461d-a2a0-9c28eef05666; 493,1 ;
80;7690;6937;UTAM084;550;22;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2021;Este hogar;uuid:4da3eec7-9b70-433b-85a5-05cb6dcc6f6f; 479,9 ;
81;12171;16689;UTAM076;309;10;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;2013;Este hogar;uuid:bb467dae-1fd2-44c0-bebb-81f0ab8c89b2; 66,9 ;
82;7335;11505;UTAM082;529;20;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Empresa donde trabaja;uuid:81393172-8573-417d-a705-2a7cacad421a; 244,9 ;
83;4576;18213;UTAM060;685;29;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2013;Este hogar;uuid:cca520ec-78ac-4a25-8cf5-bf6e291304d3; 2,8 ;
84;4573;4202;UTAM060;685;29;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2021;Este hogar;uuid:2f2c3886-226c-4ca5-b4aa-450f1e686d17; 2,6 ;
85;4577;5110;UTAM060;685;29;Bogotá D.C.;1;Campero/Camioneta;1;GNV y gasolina;25754;Pública;Sí, vehículo de servicio especial;1966;Este hogar;uuid:38ec415c-2133-4401-a5f3-acf6089d269d; 2,5 ;
86;7694;3199;UTAM084;550;22;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;25286;Privada;No;1996;Este hogar;uuid:242e7981-efbc-4983-9cef-cfa4db1c9c96; 482,2 ;
87;4909;133;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2023;Este hogar;uuid:0182ff4e-9b44-4464-86f7-8f13162842f0; 6,0 ;
88;4704;12311;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2020;Este hogar;uuid:89ffe8a6-3bdc-44a5-aadc-e3ccfbb8515b; 6,2 ;
89;4828;14967;UTAM064;1150;31;Bogotá D.C.;1;Automóvil;1;Sólo Gasolina;11001;Privada;No;2018;Este hogar;uuid:a86e54eb-19e2-4a94-991d-282f4d77a892; 6,2 ;
90;4828;14967;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2023;Este hogar;uuid:a86e54eb-19e2-4a94-991d-282f4d77a892; 6,2 ;
91;16246;5426;UTAM023;837;2;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;2014;Este hogar;uuid:3c7e53bd-1696-41e3-acca-0480a4c76730; 234,5 ;
92;16246;5426;UTAM023;837;2;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2015;Este hogar;uuid:3c7e53bd-1696-41e3-acca-0480a4c76730; 234,5 ;
93;4839;11691;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2016;Este hogar;uuid:83565dda-4adf-4c96-bdf2-de3ec4f23745; 6,1 ;
94;4904;4500;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2021;Este hogar;uuid:326fd1a7-536f-41fb-901d-87782f53e8bf; 6,1 ;
95;4836;9675;UTAM064;1150;31;Bogotá D.C.;1;Automóvil;1;Diésel;11001;Pública;No;2014;Este hogar;uuid:6cc05674-5ddd-4a6b-b1e9-294346bb264d; 6,3 ;
96;4836;9675;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2022;Este hogar;uuid:6cc05674-5ddd-4a6b-b1e9-294346bb264d; 6,3 ;
97;16240;8858;UTAM023;837;2;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2017;Este hogar;uuid:63df37aa-2f6e-4409-a7fd-3983b5fc2893; 188,6 ;
98;16229;13580;UTAM023;837;2;Bogotá D.C.;2;Moto - carro;1;Sólo Gasolina;No aplica;Privada;NA (motos);2016;Este hogar;uuid:98490631-a82d-400b-b688-28cf15f767c9; 192,1 ;
99;16233;14493;UTAM023;837;2;Bogotá D.C.;2;Campero/Camioneta;1;Sólo Gasolina;11001;Pública;No;2007;Este hogar;uuid:a2bd1ae3-4dc8-4a44-bf42-e664990c3731; 189,2 ;
100;16233;14493;UTAM023;837;2;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2022;Este hogar;uuid:a2bd1ae3-4dc8-4a44-bf42-e664990c3731; 189,2 ;
101;4705;19569;UTAM064;1150;31;Bogotá D.C.;1;Moto - carro;1;Sólo Gasolina;No aplica;Pública;NA (motos);2006;Este hogar;uuid:db93f00f-f7a0-4a15-9af2-0255f78bf4c3; 6,2 ;
102;5142;15674;UTAM094;480;14;Bogotá D.C.;1;Moto - carro;1;Sólo Gasolina;No aplica;Privada;NA (motos);1998;Este hogar;uuid:b0219a74-33cf-4410-bb1f-0a1cd2a9c224; 95,7 ;
103;2835;4790;UTAM068;727;26;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2016;Este hogar;uuid:358eccc2-f884-419d-aea9-83d727fc8f58; 100,4 ;
104;16514;3570;UTAM071;114;7;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2022;Este hogar;uuid:28476e88-3e58-4749-a19a-da2898cf6260; 639,7 ;
105;16517;1795;UTAM071;114;7;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2021;Este hogar;uuid:13e3cf29-849a-4b69-9b3d-ad5811dee643; 586,2 ;
106;7338;18714;UTAM082;529;20;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2012;Este hogar;uuid:d26c5beb-ae1c-4524-82d9-18b23a7366c0; 290,0 ;
107;6710;7010;UTAM084;560;22;Bogotá D.C.;2;Moto - carro;1;Sólo Gasolina;No aplica;Privada;NS/NR;NS/NR;Este hogar;uuid:4e71f59f-2df8-48f7-8f78-9a9981ce41e4; 400,2 ;
108;6704;20881;UTAM084;560;22;Bogotá D.C.;2;Camión;1;Sólo Gasolina;11001;Privada;NS/NR;1999;Este hogar;uuid:eacfada8-8a9c-4ce6-8a77-376100d92ce2; 400,7 ;
109;4808;5585;UTAM064;1150;31;Bogotá D.C.;1;Automóvil;1;GNV y gasolina;11001;Privada;No;1999;Este hogar;uuid:3e8a3724-5563-4cb3-810f-d8aa1e7a6f60; 6,2 ;
110;4808;5585;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2019;Este hogar;uuid:3e8a3724-5563-4cb3-810f-d8aa1e7a6f60; 6,2 ;
111;4905;14562;UTAM064;1150;31;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2021;Este hogar;uuid:a376fa12-23cd-4a74-8872-e312469f17e9; 6,1 ;
112;10144;14565;UTAM074;194;9;Bogotá D.C.;2;Automóvil;1;Eléctrico;11001;Privada;Sí, vehículo eléctrico y cero emisiones;NS/NR;Este hogar;uuid:a3784034-a0e4-441d-84b0-a8f2708a2459; 701,4 ;
113;10186;17658;UTAM074;195;9;Bogotá D.C.;3;Moto - carro;1;Sólo Gasolina;No aplica;Privada;NS/NR;NS/NR;Otro hogar;uuid:c6334a67-d69f-4f0f-b02d-775d5c28d459; 671,2 ;
114;7238;12640;UTAM080;527;20;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;NS/NR;Este hogar;uuid:8da38573-0ebb-46df-ba92-1306cbee1ef8; 66,7 ;
115;7238;12640;UTAM080;527;20;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:8da38573-0ebb-46df-ba92-1306cbee1ef8; 66,7 ;
116;7387;14511;UTAM082;529;20;Bogotá D.C.;1;Moto - carro;1;Sólo Gasolina;No aplica;Privada;NS/NR;NS/NR;Este hogar;uuid:a2e64c83-72e9-4912-ab2b-0a1e8c7b4d33; 256,1 ;
117;3084;15667;UTAM058;939;27;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:b0145c87-fe74-454f-aa3d-daa96306e20c; 172,7 ;
118;3083;1956;UTAM058;939;27;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;2015;Este hogar;uuid:15ef203f-9a40-420c-9dab-243919d897f5; 195,2 ;
119;12160;15612;UTAM076;309;10;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2021;Este hogar;uuid:af9955fd-84dc-4153-822b-005b031f5ffd; 80,1 ;
120;12147;7504;UTAM076;309;10;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;2018;Este hogar;uuid:547fc073-0243-46b3-a94c-3b02389c29d8; 92,0 ;
121;4182;1206;UPR0003;1152;26;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:0d35b03d-fc4a-4474-b073-8d111681924f; 10,4 ;
122;12155;3915;UTAM076;309;10;Bogotá D.C.;2;Taxi;1;GNV;11001;Pública;No;2016;Empresa donde trabaja;uuid:2c288345-de68-4314-8e96-bd92b55c19a2; 67,0 ;
123;2765;12297;UTAM067;718;26;Bogotá D.C.;1;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2022;Este hogar;uuid:89e25976-d436-449d-9637-46b53cdf0cdc; 229,1 ;
124;15318;7865;UTAM010;20;3;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;NS/NR;Este hogar;uuid:588192e4-6493-43bf-86bb-c45080d9eee2; 68,8 ;
125;15315;8130;UTAM010;20;3;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;25214;Privada;No;NS/NR;Este hogar;uuid:5b636261-6cc6-40e6-bb46-9de9dcef6186; 63,4 ;
