,zat_ori,zat_des,Origin Trips,Destination Trips,Org Nodal Strength,Dest Nodal Strength,Distances,Trips,s_ij,S_ij
0,9,10,28.0,94.0,56.0,186.0,707.6719833913668,20.0,6.0,3.0
1,327,10,43.0,94.0,86.0,186.0,14937.32934159514,1.0,6887.0,3443.0
2,322,10,248.0,94.0,501.0,186.0,14241.695852806537,1.0,6473.0,3234.0
3,242,10,42.0,94.0,84.0,186.0,11048.195843449234,1.0,6729.0,3364.0
4,255,10,31.0,94.0,62.0,186.0,13056.784439176614,1.0,6834.0,3417.0
5,241,10,44.0,94.0,88.0,186.0,11325.022342594017,1.0,6762.0,3380.0
6,86,10,33.0,94.0,66.0,186.0,6708.536772011997,1.0,3990.0,1991.0
7,89,10,63.0,94.0,129.0,186.0,6119.353941145697,2.0,3811.0,1906.0
8,271,10,23.0,94.0,46.0,186.0,15567.80177854247,1.0,6876.0,3438.0
9,304,10,27.0,94.0,51.0,186.0,13459.241634257807,1.0,6656.0,3331.0
10,69,10,26.0,94.0,51.0,186.0,4806.368666904014,3.0,2873.0,1437.0
11,290,10,71.0,94.0,141.0,186.0,13946.199912724956,2.0,6819.0,3410.0
12,71,10,46.0,94.0,92.0,186.0,5151.328574590472,1.0,2889.0,1445.0
13,167,10,82.0,94.0,164.0,186.0,9515.710603340242,2.0,6526.0,3261.0
14,28,10,35.0,94.0,70.0,186.0,2044.534267275227,3.0,206.0,103.0
15,247,10,14.0,94.0,28.0,186.0,11933.315023078829,1.0,6848.0,3424.0
16,62,10,9.0,94.0,17.0,186.0,3792.8460861594963,4.0,1739.0,870.0
17,95,10,23.0,94.0,46.0,186.0,6542.227275575445,1.0,4030.0,2017.0
18,33,10,6.0,94.0,12.0,186.0,5212.359677062066,1.0,749.0,372.0
19,144,10,9.0,94.0,18.0,186.0,8651.636395824677,2.0,6291.0,3144.0
20,259,10,13.0,94.0,26.0,186.0,9498.067920298989,1.0,6459.0,3229.0
21,152,10,9.0,94.0,18.0,186.0,8615.239226076168,1.0,5157.0,2574.0
22,1012,10,7.0,94.0,14.0,186.0,1796.5315399224203,2.0,36.0,18.0
23,72,10,10.0,94.0,20.0,186.0,4130.47442492987,1.0,1672.0,835.0
24,1022,10,5.0,94.0,10.0,186.0,2555.952393710242,3.0,76.0,38.0
25,993,10,8.0,94.0,16.0,186.0,17852.01084723718,1.0,6911.0,3455.0
26,458,10,5.0,94.0,10.0,186.0,18897.602567065795,1.0,6917.0,3458.0
27,855,10,6.0,94.0,12.0,186.0,2578.522560135338,3.0,330.0,166.0
28,27,10,10.0,94.0,21.0,186.0,1513.623608885775,3.0,179.0,89.0
29,851,10,5.0,94.0,10.0,186.0,8022.069239071324,1.0,5070.0,2530.0
30,26,10,8.0,94.0,15.0,186.0,1552.7468415563308,1.0,218.0,105.0
31,40,10,7.0,94.0,14.0,186.0,6584.546830249392,2.0,1235.0,616.0
32,53,10,7.0,94.0,14.0,186.0,2724.407054324959,1.0,635.0,315.0
33,272,10,8.0,94.0,16.0,186.0,14763.052783231542,1.0,6894.0,3447.0
34,294,10,7.0,94.0,15.0,186.0,14734.698326022739,1.0,6949.0,3474.0
35,73,10,5.0,94.0,10.0,186.0,4644.148842603989,2.0,2308.0,1154.0
36,124,10,2.0,94.0,4.0,186.0,9329.309116129441,2.0,6189.0,3096.0
37,341,10,3.0,94.0,6.0,186.0,15708.799075042192,2.0,6916.0,3458.0
