,zat_origen,zat_destino,Origin Trips,Destination Trips,Org Nodal Strength,Dest Nodal Strength,distance,Trips,s_ij
0,88.0,147.0,99.0,53.0,196.0,108.0,1964.5432301205499,9.0,1248.0
1,86.0,147.0,97.0,53.0,193.0,108.0,1161.3127108462738,8.0,318.0
2,853.0,147.0,133.0,53.0,264.0,108.0,2485.8469361743632,4.0,2193.0
3,139.0,147.0,99.0,53.0,196.0,108.0,3464.934500963018,3.0,2815.0
4,133.0,147.0,46.0,53.0,93.0,108.0,4274.225428398212,1.0,3062.0
5,140.0,147.0,138.0,53.0,276.0,108.0,2515.7986846949448,6.0,2223.0
6,87.0,147.0,80.0,53.0,160.0,108.0,1161.5625004029218,2.0,439.0
7,299.0,147.0,54.0,53.0,104.0,108.0,8176.840877842356,1.0,5184.0
8,259.0,147.0,28.0,53.0,56.0,108.0,2183.3234268782303,1.0,945.0
9,290.0,147.0,76.0,53.0,147.0,108.0,7583.486289673539,1.0,4692.0
10,141.0,147.0,44.0,53.0,90.0,108.0,2514.641906867457,4.0,2356.0
11,152.0,147.0,38.0,53.0,75.0,108.0,1161.6019581905834,1.0,94.0
12,143.0,147.0,73.0,53.0,145.0,108.0,2462.6122686577314,1.0,2398.0
13,145.0,147.0,16.0,53.0,31.0,108.0,1724.2632318912024,1.0,1366.0
14,67.0,147.0,31.0,53.0,66.0,108.0,3829.23737445939,1.0,2725.0
15,1036.0,147.0,10.0,53.0,20.0,108.0,10686.337041807605,1.0,2852.0
16,289.0,147.0,15.0,53.0,30.0,108.0,8577.5196750696,1.0,4856.0
17,85.0,147.0,8.0,53.0,16.0,108.0,1614.3044603484411,2.0,361.0
18,154.0,147.0,13.0,53.0,26.0,108.0,1323.3046008399515,1.0,305.0
19,466.0,147.0,2.0,53.0,4.0,108.0,14187.486131864873,1.0,4961.0
20,941.0,147.0,2.0,53.0,4.0,108.0,17690.69835694246,1.0,5158.0
21,993.0,147.0,3.0,53.0,6.0,108.0,10771.300702933348,1.0,4327.0
22,83.0,147.0,1.0,53.0,2.0,108.0,2684.299747613643,1.0,698.0
23,88.0,87.0,99.0,80.0,196.0,160.0,1089.8355533723666,5.0,115.0
24,86.0,87.0,97.0,80.0,193.0,160.0,1161.2270462757922,5.0,158.0
25,147.0,87.0,55.0,80.0,108.0,160.0,1161.5625004029218,1.0,279.0
26,997.0,87.0,63.0,80.0,124.0,160.0,10236.415867910267,1.0,5501.0
27,142.0,87.0,42.0,80.0,84.0,160.0,2965.7982756716106,1.0,2859.0
28,138.0,87.0,57.0,80.0,114.0,160.0,3182.433408759788,1.0,2811.0
29,139.0,87.0,99.0,80.0,196.0,160.0,3065.413182326743,4.0,2308.0
30,140.0,87.0,138.0,80.0,276.0,160.0,2140.2053116404563,3.0,1709.0
31,178.0,87.0,20.0,80.0,40.0,160.0,5142.117994223218,1.0,4032.0
32,95.0,87.0,24.0,80.0,52.0,160.0,3482.682870023015,1.0,2473.0
33,259.0,87.0,28.0,80.0,56.0,160.0,3186.9681604978027,1.0,2529.0
