,zat_origen,zat_destino,Origin Trips,Destination Trips,Org Nodal Strength,Dest Nodal Strength,distance,Trips,s_ij
0,147.0,87.0,134.0,137.0,271.0,272.0,1161.5625004029218,27.0,291.0
1,154.0,87.0,43.0,137.0,85.0,272.0,1887.94996992558,1.0,637.0
2,155.0,87.0,80.0,137.0,161.0,272.0,2364.5391670821055,3.0,1192.0
3,261.0,87.0,89.0,137.0,178.0,272.0,3864.901944470434,1.0,3621.0
4,259.0,87.0,76.0,137.0,156.0,272.0,3186.9681604978027,2.0,3371.0
5,248.0,87.0,93.0,137.0,183.0,272.0,6159.579089105175,3.0,4050.0
6,256.0,87.0,36.0,137.0,73.0,272.0,4527.68622877075,1.0,3888.0
7,150.0,87.0,79.0,137.0,159.0,272.0,2721.937254936415,1.0,2880.0
8,163.0,87.0,47.0,137.0,93.0,272.0,4610.8332549072,1.0,3869.0
9,144.0,87.0,66.0,137.0,130.0,272.0,2650.552234794183,1.0,2549.0
10,258.0,87.0,75.0,137.0,146.0,272.0,3706.6493550106625,4.0,3652.0
11,849.0,87.0,114.0,137.0,227.0,272.0,3262.246831320796,1.0,3303.0
12,145.0,87.0,53.0,137.0,106.0,272.0,2019.3742171965068,3.0,1697.0
13,88.0,87.0,31.0,137.0,63.0,272.0,1089.8355533723666,5.0,42.0
14,852.0,87.0,24.0,137.0,50.0,272.0,1131.4117992701972,4.0,631.0
15,153.0,87.0,36.0,137.0,70.0,272.0,1563.1957925798015,5.0,795.0
16,242.0,87.0,35.0,137.0,73.0,272.0,4856.830077925973,1.0,3960.0
17,47.0,87.0,6.0,137.0,12.0,272.0,4570.156578563505,1.0,541.0
18,245.0,87.0,54.0,137.0,107.0,272.0,5376.821531301055,2.0,4012.0
19,837.0,87.0,26.0,137.0,51.0,272.0,4794.433228592908,1.0,586.0
20,304.0,87.0,19.0,137.0,33.0,272.0,11321.01774200144,3.0,3768.0
21,161.0,87.0,21.0,137.0,40.0,272.0,4848.875490658541,2.0,3718.0
22,257.0,87.0,45.0,137.0,90.0,272.0,4173.10419918044,3.0,3809.0
23,85.0,87.0,27.0,137.0,55.0,272.0,1639.2964446790706,2.0,482.0
24,143.0,87.0,14.0,137.0,28.0,272.0,2787.4698018994704,1.0,2668.0
25,297.0,87.0,3.0,137.0,6.0,272.0,8164.301548321735,3.0,4436.0
26,255.0,87.0,7.0,137.0,15.0,272.0,6932.260853572713,1.0,4532.0
27,246.0,87.0,23.0,137.0,47.0,272.0,5307.2449671397435,1.0,4084.0
